#1 ---------------------------------------------------------------- 1#
#2     Nucleosynthesis yields of B11TW0.25 model                    2#
#3     Nishimura, Takiwaki and Thielemann, ApJ 810:109 (2015)       3#
#4     Total ejecta:     2.68000e-02  in Solar Mass                 4#
#5 ---------------------------------------------------------------- 5#
#6   name     Z    N    A    X                   Y                  6#
#7 ---------------------------------------------------------------- 7#
     ba137   56   81  137    1.6514883173e-08    1.6514883173e-08
     ba138   56   82  138    1.2136189930e-09    1.2136189930e-09
     la138   57   81  138    1.4696819896e-18    1.4696819896e-18
     la139   57   82  139    1.1161402386e-08    1.1161402386e-08
     ce136   58   78  136    1.4291483493e-14    1.4291483493e-14
     ce138   58   80  138    2.0103105424e-15    2.0103105424e-15
     ce140   58   82  140    1.8972203860e-09    1.8972203860e-09
     ce142   58   84  142    5.8951594339e-09    5.8951594339e-09
     pr141   59   82  141    3.1730249638e-10    3.1730249638e-10
     nd142   60   82  142    7.4914127906e-14    7.4914127906e-14
     nd143   60   83  143    1.8564867278e-09    1.8564867278e-09
     nd144   60   84  144    2.2435314876e-09    2.2435314876e-09
     nd145   60   85  145    3.6093741515e-09    3.6093741515e-09
     nd146   60   86  146    2.5165060030e-09    2.5165060030e-09
     nd148   60   88  148    1.0093806507e-09    1.0093806507e-09
     nd150   60   90  150    6.2949953424e-09    6.2949953424e-09
     sm144   62   82  144    1.0228818632e-13    1.0228818632e-13
     sm147   62   85  147    3.9828776952e-09    3.9828776952e-09
     sm148   62   86  148    1.2000977787e-18    1.2000977787e-18
     sm149   62   87  149    8.7942197934e-09    8.7942197934e-09
     sm150   62   88  150    2.7560475158e-18    2.7560475158e-18
     sm152   62   90  152    3.5549392628e-08    3.5549392628e-08
     sm154   62   92  154    4.3116872250e-08    4.3116872250e-08
     eu151   63   88  151    3.7607677479e-08    3.7607677479e-08
     eu153   63   90  153    2.8659673875e-08    2.8659673875e-08
     gd152   64   88  152    2.7572076200e-17    2.7572076200e-17
     gd154   64   90  154    4.0025694637e-17    4.0025694637e-17
     gd155   64   91  155    9.3033755198e-09    9.3033755198e-09
     gd156   64   92  156    7.0244608545e-09    7.0244608545e-09
     gd157   64   93  157    3.4403689735e-08    3.4403689735e-08
     gd158   64   94  158    4.6559381416e-08    4.6559381416e-08
     gd160   64   96  160    1.9630662995e-08    1.9630662995e-08
     tb159   65   94  159    1.5981535274e-08    1.5981535274e-08
     dy156   66   90  156    8.1165889366e-16    8.1165889366e-16
     dy158   66   92  158    9.1492916818e-17    9.1492916818e-17
     dy160   66   94  160    2.0834671125e-15    2.0834671125e-15
     dy161   66   95  161    1.6421574793e-08    1.6421574793e-08
     dy162   66   96  162    1.9465148131e-08    1.9465148131e-08
     dy163   66   97  163    1.7544575647e-08    1.7544575647e-08
     dy164   66   98  164    9.0503027918e-09    9.0503027918e-09
     ho165   67   98  165    1.7307254334e-08    1.7307254334e-08
     er162   68   94  162    1.3855944378e-15    1.3855944378e-15
     er164   68   96  164    1.2411314638e-16    1.2411314638e-16
     er166   68   98  166    3.1154497931e-08    3.1154497931e-08
     er167   68   99  167    1.0650256481e-08    1.0650256481e-08
     er168   68  100  168    2.3101674721e-08    2.3101674721e-08
     er170   68  102  170    1.7705990144e-08    1.7705990144e-08
     tm169   69  100  169    1.3334397539e-08    1.3334397539e-08
     yb168   70   98  168    1.2733643586e-15    1.2733643586e-15
     yb170   70  100  170    3.0051298854e-16    3.0051298854e-16
     yb171   70  101  171    4.4143364438e-09    4.4143364438e-09
     yb172   70  102  172    6.6140940001e-09    6.6140940001e-09
     yb173   70  103  173    1.5079354250e-08    1.5079354250e-08
     yb174   70  104  174    8.1928257833e-09    8.1928257833e-09
     yb176   70  106  176    1.1781058036e-08    1.1781058036e-08
     lu175   71  104  175    1.7267250741e-08    1.7267250741e-08
     lu176   71  105  176    4.7920603665e-17    4.7920603665e-17
     hf174   72  102  174    3.5580695440e-16    3.5580695440e-16
     hf176   72  104  176    1.2113587900e-16    1.2113587900e-16
     hf177   72  105  177    5.3547308989e-09    5.3547308989e-09
     hf178   72  106  178    5.3146072955e-09    5.3146072955e-09
     hf179   72  107  179    4.9888080361e-09    4.9888080361e-09
     hf180   72  108  180    5.5610594290e-09    5.5610594290e-09
     ta180   73  107  180    9.5079838953e-18    9.5079838953e-18
     ta181   73  108  181    1.0084605681e-08    1.0084605681e-08
     w180    74  106  180    1.0637855367e-15    1.0637855367e-15
     w182    74  108  182    1.3887947252e-08    1.3887947252e-08
     w183    74  109  183    5.3183576323e-08    5.3183576323e-08
     w184    74  110  184    5.9127210111e-08    5.9127210111e-08
     w186    74  112  186    9.7127822879e-08    9.7127822879e-08
     re185   75  110  185    8.6877902351e-08    8.6877902351e-08
     re187   75  112  187    1.5430185758e-07    1.5430185758e-07
     os184   76  108  184    4.5109351191e-16    4.5109351191e-16
     os186   76  110  186    7.7931798918e-17    7.7931798918e-17
